PV_Size_kW,Battery_Size_kWh,Total_Cost_EUR,Payback_Period_Years,ROI_Percent
5,50,21000,0.10234268362658075,977.1094176587303
5,100,36000,0.17544460050270985,569.9804936342593
5,150,51000,0.24854651737883898,402.3391719771243
5,200,66000,0.3216484342549681,310.8984510732324
5,250,81000,0.3947503511310972,253.32466383744864
5,300,96000,0.4678522680072263,213.74268511284725
5,350,111000,0.5409541848833554,184.85853847597602
5,400,126000,0.6140561017594846,162.85156960978838
5,450,141000,0.6871580186356137,145.5269345449173
5,500,156000,0.7602599355117428,131.53396006944448
5,550,171000,0.8333618523878719,119.9958933966862
5,600,186000,0.906463769264001,110.31880521953408
5,650,201000,0.9795656861401301,102.08605856135988
5,700,216000,1.0526676030162592,94.99674893904323
5,750,231000,1.1257695198923883,88.8281288780664
5,800,246000,1.1988714367685174,83.41177955623309
5,850,261000,1.2719733536446465,78.6179991219668
5,900,276000,1.3450752705207756,74.34528177838166
5,950,291000,1.4181771873969047,70.51305075887745
5,1000,306000,1.4912791042730338,67.05652866285405
5,1050,321000,1.5643810211491629,63.923046015057125
5,1100,336000,1.637482938025292,61.069338603670644
5,1150,351000,1.710584854901421,58.45953780864199
5,1200,366000,1.7836867717775502,56.063655111566504
5,1250,381000,1.8567886886536795,53.856424595363094
5,1300,396000,1.9298906055298086,51.816408512205406
5,1350,411000,2.0029925224059375,49.92529871248988
5,1400,426000,2.0760944392820666,48.167365659233184
5,1450,441000,2.1491963561581957,46.52901988851097
5,1500,456000,2.222298273034325,44.99846002375732
5,1550,471000,2.295400189910454,43.565388048478425
5,1600,486000,2.368502106786583,42.22077730624144
5,1650,501000,2.441604023662712,40.956682177312054
5,1700,516000,2.5147059405388412,39.7660809512274
5,1750,531000,2.5878078574149703,38.64274533113623
5,1800,546000,2.6609097742910994,37.581131448412705
5,1850,561000,2.7340116911672285,36.57628836155675
5,1900,576000,2.8071136080433576,35.62378085214121
5,1950,591000,2.880215524919487,34.71962397772138
5,2000,606000,2.9533174417956163,33.86022734460947
5,2050,621000,3.0264193586717454,33.04234745705851
10,50,27000,0.1315834503770324,759.9739915123458
10,100,42000,0.2046853672531615,488.55470882936515
10,150,57000,0.2777872841292906,359.98768019005854
10,200,72000,0.3508892010054197,284.9902468171297
10,250,87000,0.42399111788154886,235.85399736590045
10,300,102000,0.49709303475767797,201.16958598856215
10,350,117000,0.5701949516338071,175.37861342592595
10,400,132000,0.6432968685099362,155.4492255366162
10,450,147000,0.7163987853860653,139.5870596655329
10,500,162000,0.7895007022621944,126.66233191872432
10,550,177000,0.8626026191383235,115.92823599340869
10,600,192000,0.9357045360144526,106.87134255642363
10,650,207000,1.0088064528905818,99.12704237117555
10,700,222000,1.081908369766711,92.42926923798801
10,750,237000,1.15501028664284,86.57931548874826
10,800,252000,1.228112203518969,81.42578480489419
10,850,267000,1.3012141203950982,76.85130251248441
10,900,282000,1.3743160372712273,72.76346727245866
10,950,297000,1.4474179541473564,69.08854468294054
10,1000,312000,1.5205198710234855,65.76698003472224
10,1050,327000,1.5936217878996146,62.75014608817534
10,1100,342000,1.6667237047757437,59.9979466983431
10,1150,357000,1.7398256216518728,57.47702456816061
10,1200,372000,1.812927538528002,55.15940260976704
10,1250,387000,1.886029455404131,53.02144126830319
10,1300,402000,1.9591313722802601,51.04302928067994
10,1350,417000,2.0322332891563892,49.206949090727434
10,1400,432000,2.1053352060325183,47.498374469521615
10,1450,447000,2.1784371229086474,45.90446928598062
10,1500,462000,2.2515390397847765,44.4140644390332
10,1550,477000,2.3246409566609056,43.01739574598184
10,1600,492000,2.3977428735370347,41.70588977811654
10,1650,507000,2.470844790413164,40.471987713675226
10,1700,522000,2.543946707289293,39.3089995609834
10,1750,537000,2.617048624165422,38.210982813469904
10,1800,552000,2.690150541041551,37.17264088919083
10,1850,567000,2.7632524579176803,36.189237691064086
10,1900,582000,2.8363543747938094,35.25652537943873
10,1950,597000,2.9094562916699385,34.370683033221674
10,2000,612000,2.9825582085460676,33.528264331427025
10,2050,627000,3.0556601254221967,32.72615274455078
15,50,33000,0.16082421712748404,621.7969021464648
15,100,48000,0.23392613400361315,427.4853702256945
15,150,63000,0.3070280508797423,325.70313921957677
15,200,78000,0.3801299677558714,263.06792013888895
15,250,93000,0.4532318846320005,220.63761043906817
15,300,108000,0.5263338015081296,189.99349787808646
15,350,123000,0.5994357183842587,166.82355911246617
15,400,138000,0.6725376352603878,148.69056355676332
15,450,153000,0.7456395521365169,134.1130573257081
15,500,168000,0.818741469012646,122.13867720734129
15,550,183000,0.8918433858887751,112.12731022313301
15,600,198000,0.9649453027649043,103.63281702441081
15,650,213000,1.0380472196410333,96.33473131846637
15,700,228000,1.1111491365171624,89.99692004751464
15,750,243000,1.1842510533932915,84.44155461248288
15,800,258000,1.2573529702694206,79.5321619024548
15,850,273000,1.3304548871455497,75.16226289682541
15,900,288000,1.4035568040216788,71.24756170428242
15,950,303000,1.4766587208978081,67.72045468921894
15,1000,318000,1.5497606377739372,64.52609361897275
15,1050,333000,1.6228625546500663,61.61951282532534
15,1100,348000,1.6959644715261954,58.963499341475114
15,1150,363000,1.7690663884023246,56.52699110422407
15,1200,378000,1.8421683052784537,54.28385653659613
15,1250,393000,1.9152702221545828,52.211953615352
15,1300,408000,1.9883721390307119,50.29239649714054
15,1350,423000,2.061474055906841,48.508978181639094
15,1400,438000,2.13457597278297,46.84771180555556
15,1450,453000,2.207677889659099,45.29646307027227
15,1500,468000,2.2807798065352283,43.84465335648149
15,1550,483000,2.3538817234113574,42.48301815907523
15,1600,498000,2.4269836402874865,41.2034091783802
15,1650,513000,2.5000855571636156,39.99863113222873
15,1700,528000,2.5731874740397447,38.86230638415405
15,1750,543000,2.646289390915874,37.78876200890117
15,1800,558000,2.719391307792003,36.772935073178026
15,1850,573000,2.792493224668132,35.81029279377545
15,1900,588000,2.865595141544261,34.896764916383226
15,1950,603000,2.93869705842039,34.02868618711996
15,2000,618000,3.0117989752965193,33.20274720199569
15,2050,633000,3.0849008921726484,32.41595224460243
20,50,39000,0.1900649838779357,526.1358402777779
20,100,54000,0.2631669007540648,379.9869957561729
20,150,69000,0.3362688176301939,297.38112711352665
20,200,84000,0.409370734506323,244.27735441468258
20,250,99000,0.48247265138245216,207.26563404882162
20,300,114000,0.5555745682585812,179.99384009502927
20,350,129000,0.6286764851347103,159.0643238049096
20,400,144000,0.7017784020108394,142.49512340856484
20,450,159000,0.7748803188869686,129.0521872379455
20,500,174000,0.8479822357630977,117.92699868295023
20,550,189000,0.9210841526392268,108.56771307319227
20,600,204000,0.9941860695153559,100.58479299428107
20,650,219000,1.067287986391485,93.69542361111112
20,700,234000,1.1403899032676141,87.68930671296297
20,750,249000,1.2134918201437432,82.4068183567604
20,800,264000,1.2865937370198723,77.7246127683081
20,850,279000,1.3596956538960014,73.54587014635605
20,900,294000,1.4327975707721305,69.79352983276645
20,950,309000,1.5058994876482596,66.40549440399138
20,1000,324000,1.5790014045243888,63.33116595936216
20,1050,339000,1.6521033214005179,60.52890197885941
20,1100,354000,1.725205238276647,57.964117996704346
20,1150,369000,1.798307155152776,55.60785303748872
20,1200,384000,1.8714090720289052,53.435671278211814
20,1250,399000,1.9445109889050343,51.42681145572266
20,1300,414000,2.0176129057811636,49.563521185587774
20,1350,429000,2.0907148226572927,47.83053093434344
20,1400,444000,2.163816739533422,46.214634618994005
20,1450,459000,2.236918656409551,44.70435244190269
20,1500,474000,2.31002057328568,43.28965774437413
20,1550,489000,2.383122490161809,41.961754132583515
20,1600,504000,2.456224407037938,40.712892402447096
20,1650,519000,2.5293263239140673,39.53621921162493
20,1700,534000,2.6024282407901964,38.425651256242205
20,1750,549000,2.6755301576663255,37.37577007437766
20,1800,564000,2.7486320745424546,36.38173363622933
20,1850,579000,2.8217339914185837,35.43920167674152
20,1900,594000,2.894835908294713,34.54427234147027
20,1950,609000,2.967937825170842,33.69342819512863
20,2000,624000,3.041039742046971,32.88349001736112
20,2050,639000,3.1141416589231,32.11157710615546
25,50,45000,0.21930575062838734,455.98439490740753
25,100,60000,0.29240766750451647,341.98829618055566
25,150,75000,0.36550958438064557,273.5906369444445
25,200,90000,0.43861150125677467,227.99219745370377
25,250,105000,0.5117134181329038,195.4218835317461
25,300,120000,0.5848153350090329,170.99414809027783
25,350,135000,0.657917251885162,151.99479830246915
25,400,150000,0.7310191687612911,136.79531847222225
25,450,165000,0.8041210856374202,124.35938042929295
25,500,180000,0.8772230025135493,113.99609872685188
25,550,195000,0.9503249193896784,105.22716805555558
25,600,210000,1.0234268362658077,97.71094176587305
25,650,225000,1.0965287531419368,91.1968789814815
25,700,240000,1.1696306700180659,85.49707404513892
25,750,255000,1.242732586894195,80.46783439542486
25,800,270000,1.315834503770324,75.99739915123457
25,850,285000,1.3889364206464532,71.99753603801172
25,900,300000,1.4620383375225823,68.39765923611112
25,950,315000,1.5351402543987114,65.14062784391535
25,1000,330000,1.6082421712748405,62.17969021464648
25,1050,345000,1.6813440881509696,59.47622542270533
25,1100,360000,1.7544460050270987,56.99804936342594
25,1150,375000,1.8275479219032278,54.7181273888889
25,1200,390000,1.900649838779357,52.61358402777779
25,1250,405000,1.973751755655486,50.664932767489724
25,1300,420000,2.0468536725316153,48.85547088293652
25,1350,435000,2.1199555894077444,47.17079947318009
25,1400,450000,2.1930575062838735,45.59843949074075
25,1450,465000,2.2661594231600026,44.12752208781363
25,1500,480000,2.3392613400361317,42.74853702256946
25,1550,495000,2.412363256912261,41.45312680976432
25,1600,510000,2.48546517378839,40.23391719771243
25,1650,525000,2.558567090664519,39.08437670634922
25,1700,540000,2.631669007540648,37.99869957561729
25,1750,555000,2.7047709244167772,36.97170769519521
25,1800,570000,2.7778728412929063,35.99876801900586
25,1850,585000,2.8509747581690355,35.07572268518519
25,1900,600000,2.9240766750451646,34.19882961805556
25,1950,615000,2.9971785919212937,33.364711822493234
25,2000,630000,3.0702805087974228,32.57031392195768
25,2050,645000,3.143382425673552,31.812864760981917
30,50,51000,0.24854651737883898,402.3391719771243
30,100,66000,0.3216484342549681,310.8984510732324
30,150,81000,0.3947503511310972,253.32466383744864
30,200,96000,0.4678522680072263,213.74268511284725
30,250,111000,0.5409541848833554,184.85853847597602
30,300,126000,0.6140561017594846,162.85156960978838
30,350,141000,0.6871580186356137,145.5269345449173
30,400,156000,0.7602599355117428,131.53396006944448
30,450,171000,0.8333618523878719,119.9958933966862
30,500,186000,0.906463769264001,110.31880521953408
30,550,201000,0.9795656861401301,102.08605856135988
30,600,216000,1.0526676030162592,94.99674893904323
30,650,231000,1.1257695198923883,88.8281288780664
30,700,246000,1.1988714367685174,83.41177955623309
30,750,261000,1.2719733536446465,78.6179991219668
30,800,276000,1.3450752705207756,74.34528177838166
30,850,291000,1.4181771873969047,70.51305075887745
30,900,306000,1.4912791042730338,67.05652866285405
30,950,321000,1.5643810211491629,63.923046015057125
30,1000,336000,1.637482938025292,61.069338603670644
30,1050,351000,1.710584854901421,58.45953780864199
30,1100,366000,1.7836867717775502,56.063655111566504
30,1150,381000,1.8567886886536795,53.856424595363094
30,1200,396000,1.9298906055298086,51.816408512205406
30,1250,411000,2.0029925224059375,49.92529871248988
30,1300,426000,2.0760944392820666,48.167365659233184
30,1350,441000,2.1491963561581957,46.52901988851097
30,1400,456000,2.222298273034325,44.99846002375732
30,1450,471000,2.295400189910454,43.565388048478425
30,1500,486000,2.368502106786583,42.22077730624144
30,1550,501000,2.441604023662712,40.956682177312054
30,1600,516000,2.5147059405388412,39.7660809512274
30,1650,531000,2.5878078574149703,38.64274533113623
30,1700,546000,2.6609097742910994,37.581131448412705
30,1750,561000,2.7340116911672285,36.57628836155675
30,1800,576000,2.8071136080433576,35.62378085214121
30,1850,591000,2.880215524919487,34.71962397772138
30,1900,606000,2.9533174417956163,33.86022734460947
30,1950,621000,3.0264193586717454,33.04234745705851
30,2000,636000,3.0995212755478745,32.263046809486376
30,2050,651000,3.1726231924240036,31.51965863415259
35,50,57000,0.2777872841292906,359.98768019005854
35,100,72000,0.3508892010054197,284.9902468171297
35,150,87000,0.42399111788154886,235.85399736590045
35,200,102000,0.49709303475767797,201.16958598856215
35,250,117000,0.5701949516338071,175.37861342592595
35,300,132000,0.6432968685099362,155.4492255366162
35,350,147000,0.7163987853860653,139.5870596655329
35,400,162000,0.7895007022621944,126.66233191872432
35,450,177000,0.8626026191383235,115.92823599340869
35,500,192000,0.9357045360144526,106.87134255642363
35,550,207000,1.0088064528905818,99.12704237117555
35,600,222000,1.081908369766711,92.42926923798801
35,650,237000,1.15501028664284,86.57931548874826
35,700,252000,1.228112203518969,81.42578480489419
35,750,267000,1.3012141203950982,76.85130251248441
35,800,282000,1.3743160372712273,72.76346727245866
35,850,297000,1.4474179541473564,69.08854468294054
35,900,312000,1.5205198710234855,65.76698003472224
35,950,327000,1.5936217878996146,62.75014608817534
35,1000,342000,1.6667237047757437,59.9979466983431
35,1050,357000,1.7398256216518728,57.47702456816061
35,1100,372000,1.812927538528002,55.15940260976704
35,1150,387000,1.886029455404131,53.02144126830319
35,1200,402000,1.9591313722802601,51.04302928067994
35,1250,417000,2.0322332891563892,49.206949090727434
35,1300,432000,2.1053352060325183,47.498374469521615
35,1350,447000,2.1784371229086474,45.90446928598062
35,1400,462000,2.2515390397847765,44.4140644390332
35,1450,477000,2.3246409566609056,43.01739574598184
35,1500,492000,2.3977428735370347,41.70588977811654
35,1550,507000,2.470844790413164,40.471987713675226
35,1600,522000,2.543946707289293,39.3089995609834
35,1650,537000,2.617048624165422,38.210982813469904
35,1700,552000,2.690150541041551,37.17264088919083
35,1750,567000,2.7632524579176803,36.189237691064086
35,1800,582000,2.8363543747938094,35.25652537943873
35,1850,597000,2.9094562916699385,34.370683033221674
35,1900,612000,2.9825582085460676,33.528264331427025
35,1950,627000,3.0556601254221967,32.72615274455078
35,2000,642000,3.1287620422983258,31.961523007528562
35,2050,657000,3.201863959174455,31.231807870370375
40,50,63000,0.3070280508797423,325.70313921957677
40,100,78000,0.3801299677558714,263.06792013888895
40,150,93000,0.4532318846320005,220.63761043906817
40,200,108000,0.5263338015081296,189.99349787808646
40,250,123000,0.5994357183842587,166.82355911246617
40,300,138000,0.6725376352603878,148.69056355676332
40,350,153000,0.7456395521365169,134.1130573257081
40,400,168000,0.818741469012646,122.13867720734129
40,450,183000,0.8918433858887751,112.12731022313301
40,500,198000,0.9649453027649043,103.63281702441081
40,550,213000,1.0380472196410333,96.33473131846637
40,600,228000,1.1111491365171624,89.99692004751464
40,650,243000,1.1842510533932915,84.44155461248288
40,700,258000,1.2573529702694206,79.5321619024548
40,750,273000,1.3304548871455497,75.16226289682541
40,800,288000,1.4035568040216788,71.24756170428242
40,850,303000,1.4766587208978081,67.72045468921894
40,900,318000,1.5497606377739372,64.52609361897275
40,950,333000,1.6228625546500663,61.61951282532534
40,1000,348000,1.6959644715261954,58.963499341475114
40,1050,363000,1.7690663884023246,56.52699110422407
40,1100,378000,1.8421683052784537,54.28385653659613
40,1150,393000,1.9152702221545828,52.211953615352
40,1200,408000,1.9883721390307119,50.29239649714054
40,1250,423000,2.061474055906841,48.508978181639094
40,1300,438000,2.13457597278297,46.84771180555556
40,1350,453000,2.207677889659099,45.29646307027227
40,1400,468000,2.2807798065352283,43.84465335648149
40,1450,483000,2.3538817234113574,42.48301815907523
40,1500,498000,2.4269836402874865,41.2034091783802
40,1550,513000,2.5000855571636156,39.99863113222873
40,1600,528000,2.5731874740397447,38.86230638415405
40,1650,543000,2.646289390915874,37.78876200890117
40,1700,558000,2.719391307792003,36.772935073178026
40,1750,573000,2.792493224668132,35.81029279377545
40,1800,588000,2.865595141544261,34.896764916383226
40,1850,603000,2.93869705842039,34.02868618711996
40,1900,618000,3.0117989752965193,33.20274720199569
40,1950,633000,3.0849008921726484,32.41595224460243
40,2000,648000,3.1580028090487775,31.66558297968108
40,2050,663000,3.2311047259249066,30.949167075163402
45,50,69000,0.3362688176301939,297.38112711352665
45,100,84000,0.409370734506323,244.27735441468258
45,150,99000,0.48247265138245216,207.26563404882162
45,200,114000,0.5555745682585812,179.99384009502927
45,250,129000,0.6286764851347103,159.0643238049096
45,300,144000,0.7017784020108394,142.49512340856484
45,350,159000,0.7748803188869686,129.0521872379455
45,400,174000,0.8479822357630977,117.92699868295023
45,450,189000,0.9210841526392268,108.56771307319227
45,500,204000,0.9941860695153559,100.58479299428107
45,550,219000,1.067287986391485,93.69542361111112
45,600,234000,1.1403899032676141,87.68930671296297
45,650,249000,1.2134918201437432,82.4068183567604
45,700,264000,1.2865937370198723,77.7246127683081
45,750,279000,1.3596956538960014,73.54587014635605
45,800,294000,1.4327975707721305,69.79352983276645
45,850,309000,1.5058994876482596,66.40549440399138
45,900,324000,1.5790014045243888,63.33116595936216
45,950,339000,1.6521033214005179,60.52890197885941
45,1000,354000,1.725205238276647,57.964117996704346
45,1050,369000,1.798307155152776,55.60785303748872
45,1100,384000,1.8714090720289052,53.435671278211814
45,1150,399000,1.9445109889050343,51.42681145572266
45,1200,414000,2.0176129057811636,49.563521185587774
45,1250,429000,2.0907148226572927,47.83053093434344
45,1300,444000,2.163816739533422,46.214634618994005
45,1350,459000,2.236918656409551,44.70435244190269
45,1400,474000,2.31002057328568,43.28965774437413
45,1450,489000,2.383122490161809,41.961754132583515
45,1500,504000,2.456224407037938,40.712892402447096
45,1550,519000,2.5293263239140673,39.53621921162493
45,1600,534000,2.6024282407901964,38.425651256242205
45,1650,549000,2.6755301576663255,37.37577007437766
45,1700,564000,2.7486320745424546,36.38173363622933
45,1750,579000,2.8217339914185837,35.43920167674152
45,1800,594000,2.894835908294713,34.54427234147027
45,1850,609000,2.967937825170842,33.69342819512863
45,1900,624000,3.041039742046971,32.88349001736112
45,1950,639000,3.1141416589231,32.11157710615546
45,2000,654000,3.1872435757992292,31.37507304408767
45,2050,669000,3.2603454926753583,30.671596070004988
50,50,75000,0.36550958438064557,273.5906369444445
50,100,90000,0.43861150125677467,227.99219745370377
50,150,105000,0.5117134181329038,195.4218835317461
50,200,120000,0.5848153350090329,170.99414809027783
50,250,135000,0.657917251885162,151.99479830246915
50,300,150000,0.7310191687612911,136.79531847222225
50,350,165000,0.8041210856374202,124.35938042929295
50,400,180000,0.8772230025135493,113.99609872685188
50,450,195000,0.9503249193896784,105.22716805555558
50,500,210000,1.0234268362658077,97.71094176587305
50,550,225000,1.0965287531419368,91.1968789814815
50,600,240000,1.1696306700180659,85.49707404513892
50,650,255000,1.242732586894195,80.46783439542486
50,700,270000,1.315834503770324,75.99739915123457
50,750,285000,1.3889364206464532,71.99753603801172
50,800,300000,1.4620383375225823,68.39765923611112
50,850,315000,1.5351402543987114,65.14062784391535
50,900,330000,1.6082421712748405,62.17969021464648
50,950,345000,1.6813440881509696,59.47622542270533
50,1000,360000,1.7544460050270987,56.99804936342594
50,1050,375000,1.8275479219032278,54.7181273888889
50,1100,390000,1.900649838779357,52.61358402777779
50,1150,405000,1.973751755655486,50.664932767489724
50,1200,420000,2.0468536725316153,48.85547088293652
50,1250,435000,2.1199555894077444,47.17079947318009
50,1300,450000,2.1930575062838735,45.59843949074075
50,1350,465000,2.2661594231600026,44.12752208781363
50,1400,480000,2.3392613400361317,42.74853702256946
50,1450,495000,2.412363256912261,41.45312680976432
50,1500,510000,2.48546517378839,40.23391719771243
50,1550,525000,2.558567090664519,39.08437670634922
50,1600,540000,2.631669007540648,37.99869957561729
50,1650,555000,2.7047709244167772,36.97170769519521
50,1700,570000,2.7778728412929063,35.99876801900586
50,1750,585000,2.8509747581690355,35.07572268518519
50,1800,600000,2.9240766750451646,34.19882961805556
50,1850,615000,2.9971785919212937,33.364711822493234
50,1900,630000,3.0702805087974228,32.57031392195768
50,1950,645000,3.143382425673552,31.812864760981917
50,2000,660000,3.216484342549681,31.08984510732324
50,2050,675000,3.28958625942581,30.398959660493833
